title_clean,show_title,type_clean,primary_genre,first_week_date,first_season,first_month_num,first_week_rank,first_week_hours_viewed,initial_rank_bucket,initial_hours_bucket,long_run_flag
nightbooks,Nightbooks,Movie,Children & Family Movies,2021-09-19,fall,9,5,13160000,rank_4_7,medium,0
nobody sleeps in the woods tonight,Nobody Sleeps in the Woods Tonight,Movie,Horror Movies,2021-10-31,fall,10,6,1900000,rank_4_7,low,0
octonauts: above & beyond,Octonauts: Above & Beyond,TV Show,British TV Shows,2021-09-12,fall,9,8,11730000,rank_8_10,medium,0
on my block,On My Block,TV Show,Romantic TV Shows,2021-10-10,fall,10,2,63520000,top_3,high,0
one more time,One More Time,TV Show,International TV Shows,2023-04-23,spring,4,6,3890000,rank_4_7,low,0
one piece,ONE PIECE,TV Show,Anime Series,2023-09-03,fall,9,1,140100000,top_3,high,1
only mine,Only Mine,Movie,Thrillers,2021-10-31,fall,10,6,6670000,rank_4_7,low,0
open your eyes,Open Your Eyes,TV Show,International TV Shows,2021-08-29,summer,8,8,8220000,rank_8_10,low,0
our planet,Our Planet,TV Show,Docuseries,2023-06-18,summer,6,4,11900000,rank_4_7,medium,0
out of my league,Out of my league,Movie,Comedies,2021-08-22,summer,8,3,7120000,top_3,low,1
outer banks,Outer Banks,TV Show,TV Action & Adventure,2021-08-01,summer,8,1,126400000,top_3,high,1
ozark,Ozark,TV Show,Crime TV Shows,2022-01-23,winter,1,1,101490000,top_3,high,1
peaky blinders,Peaky Blinders,TV Show,British TV Shows,2022-06-12,summer,6,5,45710000,rank_4_7,medium,1
pinkfong & baby shark's space adventure,Pinkfong & Baby Shark's Space Adventure,Movie,Children & Family Movies,2021-09-05,fall,9,10,1120000,rank_8_10,low,0
playing with fire,Playing with Fire,TV Show,International TV Shows,2022-04-24,spring,4,7,6750000,rank_4_7,low,0
prey,Prey,Movie,International Movies,2021-09-12,fall,9,1,13440000,top_3,medium,0
prime time,Prime Time,Movie,Dramas,2021-07-04,summer,7,10,2080000,rank_8_10,low,0
puss in boots,Puss in Boots,Movie,Children & Family Movies,2023-01-22,winter,1,7,5860000,rank_4_7,low,0
queen,Queen,Movie,Comedies,2022-07-03,summer,7,10,7400000,rank_8_10,low,0
queen of the south,Queen of the South,TV Show,Crime TV Shows,2022-03-13,spring,3,10,11460000,rank_8_10,medium,0
queer eye,Queer Eye,TV Show,Reality TV,2022-01-02,winter,1,7,14420000,rank_4_7,medium,0
ragnarok,Ragnarok,TV Show,International TV Shows,2023-08-27,summer,8,2,47600000,top_3,medium,1
raising dion,Raising Dion,TV Show,Kids' TV,2022-02-06,winter,2,2,75550000,top_3,high,1
rebelde,Rebelde,TV Show,International TV Shows,2022-01-09,winter,1,2,33180000,top_3,medium,0
record of ragnarok,Record of Ragnarok,TV Show,Anime Series,2021-07-04,summer,7,10,9140000,rank_8_10,low,1
redemption,Redemption,Movie,Dramas,2021-10-17,fall,10,7,5800000,rank_4_7,low,0
resort to love,Resort to Love,Movie,Comedies,2021-08-01,summer,8,1,28050000,top_3,medium,1
riverdale,Riverdale,TV Show,Crime TV Shows,2022-01-30,winter,1,10,16460000,rank_8_10,medium,0
rogue city,Rogue City,Movie,Dramas,2022-01-23,winter,1,6,2450000,rank_4_7,low,0
rurouni kenshin: the beginning,Rurouni Kenshin: The Beginning,Movie,Action & Adventure,2021-08-01,summer,8,6,8610000,rank_4_7,low,1
rurouni kenshin: the final,Rurouni Kenshin: The Final,Movie,Action & Adventure,2021-07-04,summer,7,3,5340000,top_3,low,0
rust creek,Rust Creek,Movie,Thrillers,2021-07-18,summer,7,10,6560000,rank_8_10,low,0
s.w.a.t.,S.W.A.T.,Movie,Action & Adventure,2023-05-28,spring,5,5,20230000,rank_4_7,medium,0
safe house,Safe House,Movie,Action & Adventure,2021-09-19,fall,9,8,9060000,rank_8_10,low,0
sas: rise of the black swan,SAS: Rise of the Black Swan,Movie,Action & Adventure,2021-08-29,summer,8,3,35650000,top_3,medium,0
scary movie,Scary Movie,Movie,Comedies,2023-10-22,fall,10,10,5400000,rank_8_10,low,0
school life,School Life,Movie,Comedies,2022-09-04,fall,9,7,3420000,rank_4_7,low,0
schumacher,Schumacher,Movie,Documentaries,2021-09-19,fall,9,2,17290000,top_3,medium,0
security,Security,Movie,Dramas,2021-07-04,summer,7,6,2950000,rank_4_7,low,0
selling sunset,Selling Sunset,TV Show,Reality TV,2021-11-28,fall,11,3,33080000,top_3,medium,1
sex education,Sex Education,TV Show,British TV Shows,2021-09-19,fall,9,1,140650000,top_3,high,1
sex/life,Sex/Life,TV Show,Romantic TV Shows,2021-07-04,summer,7,1,86730000,top_3,high,1
shadow and bone,Shadow and Bone,TV Show,TV Action & Adventure,2023-03-19,spring,3,2,74470000,top_3,high,1
shaman king,SHAMAN KING,TV Show,Anime Series,2021-08-15,summer,8,3,12970000,top_3,medium,0
shameless (u.s.),Shameless (U.S.),TV Show,TV Comedies,2021-10-17,fall,10,4,23530000,rank_4_7,medium,0
sharkdog,Sharkdog,TV Show,Kids' TV,2021-09-12,fall,9,5,19590000,rank_4_7,medium,0
she,She,TV Show,Crime TV Shows,2022-06-26,summer,6,7,9490000,rank_4_7,low,0
shiny_flakes: the teenage drug lord,Shiny_Flakes: The Teenage Drug Lord,Movie,Documentaries,2021-08-08,summer,8,10,3340000,rank_8_10,low,1
shooter,Shooter,TV Show,Crime TV Shows,2022-03-13,spring,3,7,7390000,rank_4_7,low,1
silver skates,Silver Skates,Movie,Action & Adventure,2021-07-04,summer,7,1,7390000,top_3,low,0
sintonia,Sintonia,TV Show,Crime TV Shows,2021-10-31,fall,10,3,25890000,top_3,medium,0
sky rojo,Sky Rojo,TV Show,International TV Shows,2021-07-25,summer,7,3,12980000,top_3,medium,0
skylines,Skylines,Movie,Action & Adventure,2021-07-04,summer,7,9,6130000,rank_8_10,low,0
sniper: ghost shooter,Sniper: Ghost Shooter,Movie,Action & Adventure,2023-02-05,winter,2,4,12490000,rank_4_7,medium,0
somos.,Somos.,TV Show,Crime TV Shows,2021-07-04,summer,7,5,11510000,rank_4_7,medium,0
sophie: a murder in west cork,Sophie: A Murder in West Cork,TV Show,British TV Shows,2021-07-04,summer,7,8,12800000,rank_8_10,medium,0
space force,Space Force,TV Show,TV Comedies,2022-02-27,winter,2,8,12320000,rank_8_10,medium,0
spider-man: into the spider-verse,Spider-Man: Into the Spider-Verse,Movie,Action & Adventure,2022-03-06,spring,3,4,13940000,rank_4_7,medium,0
spy kids,Spy Kids,Movie,Children & Family Movies,2023-10-22,fall,10,9,5400000,rank_8_10,low,0
squid game,Squid Game,TV Show,International TV Shows,2021-09-19,fall,9,1,63190000,top_3,high,1
stranger things,Stranger Things,TV Show,TV Horror,2022-05-22,spring,5,10,9490000,rank_8_10,low,1
suits,Suits,TV Show,International TV Shows,2023-06-25,summer,6,5,27700000,rank_4_7,medium,1
sweet girl,Sweet Girl,Movie,Action & Adventure,2021-08-22,summer,8,1,57160000,top_3,high,1
sweet magnolias,Sweet Magnolias,TV Show,Romantic TV Shows,2022-02-06,winter,2,5,43000000,rank_4_7,medium,1
sweet tooth,Sweet Tooth,TV Show,TV Action & Adventure,2021-07-04,summer,7,4,21350000,rank_4_7,medium,1
synchronic,Synchronic,Movie,Thrillers,2023-05-14,spring,5,5,5930000,rank_4_7,low,0
the 100,The 100,TV Show,TV Action & Adventure,2021-09-05,fall,9,5,13590000,rank_4_7,medium,0
the 8th night,The 8th Night,Movie,Horror Movies,2021-07-04,summer,7,4,4480000,rank_4_7,low,0
the angry birds movie 2,The Angry Birds Movie 2,Movie,Children & Family Movies,2022-08-21,summer,8,7,11470000,rank_4_7,medium,0
the baby-sitters club,The Baby-Sitters Club,TV Show,Kids' TV,2021-10-17,fall,10,9,17030000,rank_8_10,medium,0
the blacklist,The Blacklist,TV Show,Crime TV Shows,2022-06-05,summer,6,10,8710000,rank_8_10,low,0
the call,The Call,Movie,International Movies,2022-04-17,spring,4,7,7710000,rank_4_7,low,0
the chair,The Chair,TV Show,TV Comedies,2021-08-29,summer,8,4,14020000,rank_4_7,medium,0
the chosen one,The Chosen One,TV Show,International TV Shows,2023-08-20,summer,8,1,13200000,top_3,medium,0
the christmas chronicles,The Christmas Chronicles,Movie,Children & Family Movies,2021-12-05,winter,12,8,7940000,rank_8_10,low,1
the christmas chronicles: part two,The Christmas Chronicles: Part Two,Movie,Children & Family Movies,2021-12-05,winter,12,9,7790000,rank_8_10,low,1
the circle,The Circle,TV Show,Reality TV,2021-09-19,fall,9,8,14350000,rank_8_10,medium,0
the clovehitch killer,The Clovehitch Killer,Movie,Dramas,2022-01-16,winter,1,10,7000000,rank_8_10,low,0
the club,The Club,TV Show,Crime TV Shows,2021-11-14,fall,11,8,7860000,rank_8_10,low,0
the company men,The Company Men,Movie,Dramas,2023-06-11,summer,6,8,5390000,rank_8_10,low,0
the cook of castamar,The Cook of Castamar,TV Show,International TV Shows,2021-07-11,summer,7,3,16960000,top_3,medium,1
the croods,The Croods,Movie,Children & Family Movies,2021-11-21,fall,11,6,13440000,rank_4_7,medium,1
the crown,The Crown,TV Show,British TV Shows,2022-09-11,fall,9,7,17570000,rank_4_7,medium,1
the father who moves mountains,The Father Who Moves Mountains,Movie,Dramas,2021-09-19,fall,9,1,14830000,top_3,medium,0
the great british baking show,The Great British Baking Show,TV Show,British TV Shows,2023-10-08,fall,10,10,3500000,rank_8_10,low,0
the guide to the perfect family,The Guide to the Perfect Family,Movie,Comedies,2021-07-18,summer,7,4,5130000,rank_4_7,low,0
the healer,The Healer,Movie,Children & Family Movies,2023-05-21,spring,5,10,3330000,rank_8_10,low,0
the hurricane heist,The Hurricane Heist,Movie,Action & Adventure,2023-02-05,winter,2,6,10120000,rank_4_7,medium,0
the ice road,The Ice Road,Movie,Action & Adventure,2021-07-04,summer,7,4,13690000,rank_4_7,medium,0
the invitation,The Invitation,Movie,Horror Movies,2023-01-01,winter,1,5,12200000,rank_4_7,medium,0
the killer,The Killer,Movie,Action & Adventure,2023-11-12,fall,11,1,55700000,top_3,high,1
the kissing booth,The Kissing Booth,Movie,Comedies,2021-08-15,summer,8,7,8590000,rank_4_7,low,0
the kissing booth 2,The Kissing Booth 2,Movie,Comedies,2021-08-15,summer,8,8,8370000,rank_8_10,low,0
the kissing booth 3,The Kissing Booth 3,Movie,Comedies,2021-08-15,summer,8,1,90860000,top_3,high,0
the last kingdom,The Last Kingdom,TV Show,British TV Shows,2022-03-13,spring,3,2,80720000,top_3,high,1
the last letter from your lover,The Last Letter From Your Lover,Movie,Dramas,2021-07-25,summer,7,2,13140000,top_3,medium,0
the last mercenary,The Last Mercenary,Movie,Action & Adventure,2021-08-01,summer,8,2,16120000,top_3,medium,1
the lincoln lawyer,The Lincoln Lawyer,Movie,Dramas,2022-05-15,spring,5,2,45090000,top_3,medium,1
the longest yard,The Longest Yard,Movie,Classic Movies,2022-01-09,winter,1,10,9960000,rank_8_10,low,0
the losers,The Losers,Movie,Action & Adventure,2021-08-08,summer,8,5,8040000,rank_4_7,low,0
the loud house movie,The Loud House Movie,Movie,Children & Family Movies,2021-08-22,summer,8,5,13860000,rank_4_7,medium,0
the mist,The Mist,TV Show,TV Dramas,2022-06-26,summer,6,8,8400000,rank_8_10,low,0
the mitchells vs. the machines,The Mitchells vs. The Machines,Movie,Children & Family Movies,2021-07-04,summer,7,10,4890000,rank_8_10,low,0
the mole,The Mole,TV Show,Reality TV,2022-10-16,fall,10,10,9640000,rank_8_10,low,0
the old ways,The Old Ways,Movie,Horror Movies,2021-08-29,summer,8,5,13720000,rank_4_7,medium,0
the outpost,The Outpost,Movie,Action & Adventure,2022-06-05,summer,6,6,10120000,rank_4_7,medium,0
the queen of flow,The Queen of Flow,TV Show,Crime TV Shows,2021-11-21,fall,11,2,47450000,top_3,medium,1
the secret diary of an exchange student,The Secret Diary of an Exchange Student,Movie,Comedies,2021-08-22,summer,8,2,7910000,top_3,low,1
the secret life of pets 2,The Secret Life of Pets 2,Movie,Children & Family Movies,2022-01-16,winter,1,4,9390000,rank_4_7,low,0
the seven deadly sins,The Seven Deadly Sins,TV Show,Anime Series,2021-07-04,summer,7,2,33240000,top_3,medium,1
the sinner,The Sinner,TV Show,Crime TV Shows,2022-01-30,winter,1,8,21320000,rank_8_10,medium,0
the smurfs,The Smurfs,Movie,Children & Family Movies,2023-05-07,spring,5,10,9220000,rank_8_10,low,0
the snitch cartel: origins,The Snitch Cartel: Origins,TV Show,Crime TV Shows,2021-08-01,summer,8,5,15150000,rank_4_7,medium,1
the son,The Son,Movie,Dramas,2023-05-28,spring,5,4,7940000,rank_4_7,low,0
the starling,The Starling,Movie,Comedies,2021-09-26,fall,9,2,16670000,top_3,medium,0
the stranger,The Stranger,TV Show,British TV Shows,2022-10-23,fall,10,4,17040000,rank_4_7,medium,0
the stronghold,The Stronghold,Movie,Action & Adventure,2021-09-19,fall,9,3,10360000,top_3,medium,0
the swarm,The Swarm,Movie,Horror Movies,2021-08-08,summer,8,4,11380000,rank_4_7,medium,0
the twilight saga: breaking dawn: part 1,The Twilight Saga: Breaking Dawn: Part 1,Movie,Dramas,2021-07-25,summer,7,10,8250000,rank_8_10,low,0
the twilight saga: breaking dawn: part 2,The Twilight Saga: Breaking Dawn: Part 2,Movie,Dramas,2021-07-25,summer,7,7,9240000,rank_4_7,low,0
the twilight saga: eclipse,The Twilight Saga: Eclipse,Movie,Dramas,2021-07-25,summer,7,8,9220000,rank_8_10,low,0
the twilight saga: new moon,The Twilight Saga: New Moon,Movie,Dramas,2021-07-25,summer,7,5,10320000,rank_4_7,medium,0
the umbrella academy,The Umbrella Academy,TV Show,TV Action & Adventure,2022-06-26,summer,6,1,151760000,top_3,high,1
the uncanny counter,The Uncanny Counter,TV Show,International TV Shows,2023-08-06,summer,8,7,10400000,rank_4_7,medium,1
the upshaws,The Upshaws,TV Show,TV Comedies,2023-08-20,summer,8,8,4800000,rank_8_10,low,0
the vault,The Vault,Movie,Action & Adventure,2021-08-08,summer,8,4,10870000,rank_4_7,medium,0
the walking dead,The Walking Dead,TV Show,Classic & Cult TV,2021-08-01,summer,8,9,15050000,rank_8_10,medium,0
the war next-door,The War Next-door,TV Show,International TV Shows,2021-07-11,summer,7,4,13970000,rank_4_7,medium,0
the water man,The Water Man,Movie,Children & Family Movies,2021-07-18,summer,7,5,11630000,rank_4_7,medium,0
the whole truth,The Whole Truth,Movie,Dramas,2021-12-05,winter,12,2,11950000,top_3,medium,1
the witcher,The Witcher,TV Show,International TV Shows,2021-12-12,winter,12,6,14180000,rank_4_7,medium,1
the witcher: nightmare of the wolf,The Witcher: Nightmare of the Wolf,Movie,Action & Adventure,2021-08-29,summer,8,7,13300000,rank_4_7,medium,0
the women and the murderer,The Women and the Murderer,Movie,Documentaries,2021-09-12,fall,9,5,2060000,rank_4_7,low,0
thimmarusu,Thimmarusu,Movie,Dramas,2021-09-05,fall,9,8,1220000,rank_8_10,low,0
this little love of mine,This Little Love of Mine,Movie,International Movies,2021-07-11,summer,7,6,9390000,rank_4_7,low,0
time trap,Time Trap,Movie,Action & Adventure,2023-04-30,spring,4,9,3700000,rank_8_10,low,0
too hot to handle,Too Hot to Handle,TV Show,Reality TV,2021-07-04,summer,7,2,62150000,top_3,high,1
too hot to handle: brazil,Too Hot to Handle: Brazil,TV Show,International TV Shows,2021-07-25,summer,7,6,9450000,rank_4_7,low,0
top boy,Top Boy,TV Show,British TV Shows,2022-03-20,spring,3,7,21740000,rank_4_7,medium,0
top secret ufo projects: declassified,Top Secret UFO Projects: Declassified,TV Show,Docuseries,2021-08-08,summer,8,7,17040000,rank_4_7,medium,0
toy boy,Toy Boy,TV Show,Crime TV Shows,2022-02-13,winter,2,5,34120000,rank_4_7,medium,0
triple 9,Triple 9,Movie,Dramas,2022-09-11,fall,9,9,6530000,rank_8_10,low,0
triple frontier,Triple Frontier,Movie,Action & Adventure,2023-11-26,fall,11,6,7500000,rank_4_7,low,0
trollhunters: rise of the titans,Trollhunters: Rise of the Titans,Movie,Children & Family Movies,2021-07-25,summer,7,1,16130000,top_3,medium,0
turbo,Turbo,Movie,Children & Family Movies,2022-05-29,spring,5,8,5310000,rank_8_10,low,0
turning point: 9/11 and the war on terror,Turning Point: 9/11 and the War on Terror,TV Show,Docuseries,2021-09-05,fall,9,3,24050000,top_3,medium,0
twilight,Twilight,Movie,Action & Adventure,2021-07-18,summer,7,9,7640000,rank_8_10,low,0
undercover,Undercover,TV Show,Crime TV Shows,2022-01-16,winter,1,6,28900000,rank_4_7,medium,0
unsolved mysteries,Unsolved Mysteries,TV Show,Crime TV Shows,2022-10-23,fall,10,6,18930000,rank_4_7,medium,0
untold: malice at the palace,Untold: Malice at the Palace,Movie,Documentaries,2021-08-15,summer,8,10,6450000,rank_8_10,low,0
valeria,Valeria,TV Show,International TV Shows,2021-08-15,summer,8,9,9600000,rank_8_10,low,1
virgin river,Virgin River,TV Show,Romantic TV Shows,2021-07-11,summer,7,2,76170000,top_3,high,1
vivo,Vivo,Movie,Children & Family Movies,2021-08-08,summer,8,3,21940000,top_3,medium,1
war,War,Movie,Action & Adventure,2022-11-06,fall,11,4,16760000,rank_4_7,medium,0
warrior nun,Warrior Nun,TV Show,TV Action & Adventure,2022-11-13,fall,11,6,26220000,rank_4_7,medium,0
welcome home roscoe jenkins,Welcome Home Roscoe Jenkins,Movie,Comedies,2021-09-05,fall,9,9,6270000,rank_8_10,low,0
who killed sara?,Who Killed Sara?,TV Show,Crime TV Shows,2022-05-22,spring,5,1,60800000,top_3,high,1
wish dragon,Wish Dragon,Movie,Children & Family Movies,2021-07-04,summer,7,3,15260000,top_3,medium,1
woody woodpecker,Woody Woodpecker,Movie,Children & Family Movies,2023-07-09,summer,7,10,6300000,rank_8_10,low,0
words bubble up like soda pop,Words Bubble Up Like Soda Pop,Movie,Anime Features,2021-08-01,summer,8,10,2180000,rank_8_10,low,0
workin' moms,Workin' Moms,TV Show,International TV Shows,2022-05-15,spring,5,3,19190000,top_3,medium,0
world trade center,World Trade Center,Movie,Action & Adventure,2021-08-08,summer,8,10,5050000,rank_8_10,low,0
worth,Worth,Movie,Dramas,2021-09-05,fall,9,7,6480000,rank_4_7,low,0
xtreme,Xtreme,Movie,Action & Adventure,2021-07-04,summer,7,8,2650000,rank_8_10,low,1
you,You,TV Show,Crime TV Shows,2021-10-17,fall,10,1,156170000,top_3,high,1
young royals,Young Royals,TV Show,International TV Shows,2021-07-11,summer,7,8,9820000,rank_8_10,low,0
